Emotion,Name,Url
romantic,Channa Mereya by Arijit Singh (Hindi),https://www.youtube.com/watch?v=qZX_AylI9VQ&ab_channel=SuperhitMusic
romantic,Mere Sapno Ki Rani ,https://www.youtube.com/watch?v=-Q8mrKJ1Jps&ab_channel=GaaneNayePurane
emotics,Till I Collapse by Eminem,https://www.youtube.com/watch?v=ytQ5CYE1VZw
emotics,Kar Har Maidaan Fateh by Sukhwinder Singh (from Sanju),https://www.youtube.com/watch?v=9iIX4PBplAY&ab_channel=T-Series
emotics,KUTU MA KUTU,https://www.youtube.com/watch?v=uZa_-kLrGhA
emotics,Senorita,https://www.youtube.com/watch?v=Pkh8UtuejGw
emotics,Buttabomma,https://www.youtube.com/watch?v=v_KoMmPA7Vw
emotics,Teri Mitti,https://www.youtube.com/watch?v=8zs3UWw2yYM
emotics,DREAM GIRL - TITLE TRACK,https://www.youtube.com/watch?v=4ChS5HwFrgw
emotics,Saaiyaan,https://www.youtube.com/watch?v=YH2KZaA5P5o
emotics,Dui Rupaiyaan,https://www.youtube.com/watch?v=PrDjKpQN0xk
emotics,Don't Start Now,https://www.youtube.com/watch?v=oygrmJFKYZY
emotics,Ratai Ratai,https://www.youtube.com/watch?v=8Gx2QhcHwog
emotics,Tum Hi Aana,https://www.youtube.com/watch?v=FVx4pFES9A4
emotics,Jeevan Ka Safar,https://www.youtube.com/watch?v=67GprOXOJW8
emotics,R.I.P.,https://www.youtube.com/watch?v=p0EF5bh_ikc
emotics,Prada,https://www.youtube.com/watch?v=mTjQq5rMlEY
emotics,Shubharambh,https://www.youtube.com/watch?v=AlCI0G6Zoww
emotics,Last Hurrah,https://www.youtube.com/watch?v=QNn5bzNpGcQ
emotics,Yo Aankha Ko Aankhama,https://www.youtube.com/watch?v=bfRoDuxACOc
emotics,Pehli Dafa,https://www.youtube.com/watch?v=CU1V2JkBVTM
emotics,Dance Monkey,https://www.youtube.com/watch?v=q0hyYWKXF0Q
emotics,Tujh Mein Rab Dikhta Hai,https://www.youtube.com/watch?v=yVjUytgZRsU
emotics,The Nights,https://www.youtube.com/watch?v=UtF6Jej8yb4
